Date,Open,High,Low,Close,Adj Close,Volume
2009-09-18,122.449997,122.879997,121.620003,122.110001,96.564568,9935800
2009-09-21,121.029999,122.080002,120.879997,121.570000,96.137512,4515100
2009-09-22,122.089996,122.110001,120.980003,121.610001,96.169174,5564700
2009-09-23,121.260002,122.739998,120.709999,120.820000,95.544441,5538100
2009-09-24,120.690002,121.650002,120.400002,120.940002,95.639328,5426800
2009-09-25,120.269997,121.650002,120.099998,121.080002,95.750053,5187900
2009-09-28,120.519997,122.000000,118.940002,119.330002,94.366135,8248600
2009-09-29,119.360001,119.940002,118.599998,118.809998,93.954933,6748800
2009-09-30,119.180000,120.000000,117.550003,119.610001,94.587555,7733300
2009-10-01,119.389999,119.610001,117.559998,117.900002,93.235291,7067500
2009-10-02,117.400002,119.660004,117.260002,119.019997,94.120995,7581900
2009-10-05,118.900002,120.180000,118.129997,119.750000,94.698265,5673300
2009-10-06,120.389999,121.589996,120.220001,121.349998,95.963554,6659100
2009-10-07,121.120003,122.849998,120.940002,122.779999,97.094406,5872000
2009-10-08,122.519997,122.980003,121.849998,122.290001,96.706917,6498000
2009-10-09,122.430000,126.000000,122.300003,125.930000,99.585426,13123100
2009-10-12,125.440002,127.099998,125.199997,127.040001,100.463219,7730500
2009-10-13,126.220001,127.389999,126.199997,127.019997,100.447380,7581300
2009-10-14,127.709999,128.610001,126.599998,128.350006,101.499168,9545500
2009-10-15,127.559998,128.000000,126.320000,127.980003,101.206558,11904600
2009-10-16,123.150002,123.699997,121.250000,121.639999,96.192886,19216900
2009-10-19,121.760002,123.360001,121.610001,123.059998,97.315834,7514100
2009-10-20,123.360001,123.500000,121.500000,122.820000,97.126038,8780700
2009-10-21,122.180000,124.110001,120.860001,120.870003,95.583977,7171000
2009-10-22,120.750000,123.000000,120.339996,122.690002,97.023239,6027000
2009-10-23,122.949997,123.059998,120.000000,120.360001,95.180672,6799200
2009-10-26,120.610001,122.440002,119.550003,120.110001,94.982986,6538500
2009-10-27,120.180000,122.139999,119.150002,120.650002,95.410004,9445400
2009-10-28,120.470001,121.680000,119.870003,121.500000,96.082153,8780400
2009-10-29,122.150002,123.029999,121.599998,122.870003,97.165550,6309400
